seed,Silhouette,CH,DB,MQ_graph,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.266670335411999,118.678057238749,1.79452311728208,0.196916367683569,0.302083333333333,0.393814409456061,0.0900186437589107,0.605564122550747
2,0.269023910352269,98.3919443779988,1.77342266447366,0.162676469160338,0.291666666666667,0.371945033462178,0.0876612689518253,0.628985492726584
3,0.251006198134674,92.2997759566925,1.76703411230678,0.17837986722425,0.3125,0.398017078193211,0.0877128398891834,0.604926499604928
4,0.239201626108951,100.370914379763,1.77970496991246,0.188464826056567,0.286458333333333,0.370974617328462,0.0917813502076518,0.633733152012588
5,0.225187947052523,105.17265445338,1.90760689763108,0.17198948871905,0.265625,0.396867895383165,0.0853229927469346,0.601201999189652
6,0.259469184612586,102.106758694836,1.79561117093141,0.197003586646786,0.291666666666667,0.393762524040621,0.104505607738366,0.602644796650896
7,0.251692304059354,106.072874379092,1.75863079758928,0.168755165330483,0.3125,0.355958246148993,0.0905382022175493,0.644522303312633
8,0.231742967429078,103.595855979667,1.84544039175047,0.173223811550404,0.291666666666667,0.393098715402692,0.0895578564913924,0.610392515917106
9,0.224649197372115,90.4645746398646,1.92047406249867,0.170339264205686,0.260416666666667,0.403737079830126,0.0836593603061878,0.598287480586563
10,0.242265754096536,103.190985124207,1.8488642365785,0.173550002233153,0.307291666666667,0.381544086040652,0.0919334090558772,0.625560317088828
11,0.238145168852594,94.9143571297415,1.85380554169262,0.18642257441643,0.276041666666667,0.388748790088873,0.0886600921074912,0.601521910047869
12,0.276462952376853,104.926965478905,1.77363551089572,0.181633692172403,0.3125,0.389981288744362,0.0861647653244212,0.620606984255215
13,0.239527931388736,97.419935188366,1.90760484746365,0.169933762233563,0.307291666666667,0.380529751883919,0.0929709988440435,0.624100796323019
14,0.214379071128834,106.889259206722,2.04239605859041,0.190058710099773,0.260416666666667,0.384928744600259,0.0822868841934057,0.616897206486399
15,0.235507887016804,106.280774969715,1.92263690667565,0.167767799404676,0.28125,0.398803054987484,0.0891930215521322,0.606209776633957
16,0.280962382180448,117.481729324827,1.69859243338381,0.17491108423843,0.328125,0.373094924252175,0.0870432491485123,0.626340998469483
17,0.285986280620363,98.5109477019466,1.73204333500488,0.193710638316767,0.322916666666667,0.397582978629603,0.0937227280560182,0.600763310978835
18,0.236897764155632,101.767900252341,1.92382869737114,0.191213766966725,0.260416666666667,0.399953048845121,0.0924747885858997,0.602660559973497
19,0.239595153478187,101.924511436593,1.8828447209386,0.188363077515416,0.286458333333333,0.404252304076769,0.0855339978298236,0.597906551601231
20,0.246023615626646,96.8459571015806,1.88041678864509,0.164954831894351,0.307291666666667,0.382552897648019,0.086208893082575,0.610701019291294
21,0.217015283551652,108.346724883184,1.8838376224834,0.173364155182932,0.317708333333333,0.377602112982327,0.0840659512650723,0.61278482680939
22,0.24772806080317,100.278402520616,1.79469554895381,0.199151564272564,0.328125,0.409552732098786,0.0879328104624802,0.576886824749588
23,0.267427080048243,92.9709897855892,1.69172896106233,0.226115926256025,0.307291666666667,0.368117754452031,0.0989762016887567,0.609787499067425
24,0.239536556788205,104.338332590392,1.84143921053391,0.212451304642663,0.260416666666667,0.388259132634074,0.0920963182351518,0.61078332541556
25,0.218981142844937,90.7883844928578,1.99684110060753,0.215797129818498,0.291666666666667,0.405997048991464,0.091363972416289,0.58218263711258
26,0.241355204294145,91.7118790080308,1.84582776680535,0.180486282616488,0.302083333333333,0.376712943260162,0.0902849823481058,0.620128937052514
27,0.217186898536266,102.220318929458,2.05397325154621,0.163447465705951,0.291666666666667,0.363761959518593,0.0794968340473529,0.633964531212813
28,0.22350589471269,104.223121085953,1.91994029757721,0.168466897253891,0.25,0.399276028224768,0.0846666727130544,0.604437103126872
29,0.224518049674118,96.4385424223396,1.85304457091473,0.194916040043193,0.291666666666667,0.414421039334466,0.0945180761559859,0.584552174232979
30,0.236778127140072,103.934009905751,1.84997539379361,0.179273475182106,0.291666666666667,0.401842698503869,0.104466772684986,0.606036090547144
31,0.263890006431239,101.951712640759,1.81461137540765,0.182220358486031,0.307291666666667,0.405776476809463,0.0920325377841718,0.597388937104854
32,0.262064171428283,104.950941467964,1.78210378416676,0.162265527992498,0.265625,0.365382978211939,0.0904648764728487,0.634312261677538
33,0.24751066977886,99.918327798839,1.72867888024524,0.233587439646684,0.317708333333333,0.415205666913735,0.0977304109528052,0.574529261930672
34,0.245566462016148,109.953166596747,1.88310366192275,0.19964355354739,0.286458333333333,0.387886717214477,0.101636846627942,0.616912861049629
35,0.266576998583362,92.9507167662799,1.74820204935235,0.159350555786129,0.307291666666667,0.376468511000389,0.0923745756498594,0.633598672061979
36,0.2744135155191,103.60280661614,1.65793747983849,0.184722148748958,0.3125,0.397154819296545,0.0877183967276847,0.601212499748744
37,0.25540978836481,104.621290017649,1.77119009055545,0.18836147174899,0.307291666666667,0.394262806878159,0.0880657622665295,0.605571873638314
38,0.254517969198139,103.339230991077,1.77606509127425,0.218270233999543,0.276041666666667,0.371518354472213,0.0958816465558667,0.623421900478688
39,0.228507891733511,98.8274439000319,1.90359752040089,0.205599395783089,0.286458333333333,0.400826359821828,0.0921118063577793,0.59916203120113
40,0.227899395325014,102.724551868594,1.85376412557983,0.188762754239844,0.28125,0.387319310411137,0.0949608365709953,0.626264022802287
41,0.273927132240668,116.353431381486,1.64846827205097,0.218633372522669,0.296875,0.404364115885665,0.100764981937046,0.580352310235383
42,0.224795961963903,108.325012825783,1.86491269716936,0.167601018636984,0.286458333333333,0.339248127495684,0.0823170883697199,0.661406673900564
43,0.267387927050177,104.017700211326,1.72304801511122,0.161819553966864,0.296875,0.364115458563078,0.0804612561599857,0.632008451370544
44,0.248062529378694,97.8611077733072,1.81663784837153,0.182057636649204,0.3125,0.391482821729132,0.092277239668544,0.610408497353289
45,0.25095379566761,106.639651408415,1.80325548824094,0.168275286957538,0.296875,0.370127653617144,0.0850777931653612,0.636970942839776
46,0.261861013385051,107.507513550536,1.83233311746672,0.169556489260977,0.302083333333333,0.390965186577272,0.0849848618086684,0.605858098375079
47,0.245401132536188,94.8108279472398,1.84529039612123,0.188083210047696,0.28125,0.39253656846085,0.0871595713841258,0.603016753867486
48,0.246963315822088,100.194826861478,1.79058741801848,0.213448323226283,0.302083333333333,0.417814826700965,0.0945636248046305,0.572813653872214
49,0.2199114999717,103.349093552097,1.97537099679105,0.178341603782595,0.255208333333333,0.360087127343168,0.0844759350779303,0.641179944213306
50,0.235970759559446,109.397708602611,1.88919672051627,0.199895623750837,0.302083333333333,0.403206487610169,0.0938042315414027,0.59431596414467
