seed,Silhouette,CH,DB,MQ_graph,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.234313682211862,45.4040559531451,1.85002984866507,0.133698773530421,0.21830985915493,0.312212036737478,0.107788253238687,0.685757467327873
2,0.245288785140271,52.3355610690947,1.84788936434396,0.115127955299318,0.26056338028169,0.289820383741739,0.0787576646951186,0.707830647762845
3,0.24138789226758,42.0078452870847,1.86560420066617,0.153961030992738,0.278169014084507,0.282656729079758,0.111285672348932,0.729386471443788
4,0.232233430863863,54.9894306927873,1.95753379406581,0.155229147126746,0.264084507042254,0.271016200308285,0.116586732547938,0.716983527665877
5,0.238514502312915,46.864908397929,1.93038396636904,0.153395044398409,0.320422535211268,0.31987068281533,0.0907324036005447,0.692286100570024
6,0.24977835738637,44.6522243524151,1.87674353386086,0.126164845753129,0.27112676056338,0.281349543793157,0.0884131316704373,0.723942398153863
7,0.252379202376312,47.3751865254759,1.747028320314,0.163851254105165,0.235915492957746,0.340438596968277,0.101808956684037,0.678243436643263
8,0.24044340703687,46.3900259955611,1.90746236375314,0.110613988779066,0.26056338028169,0.291702503717468,0.0842119406526427,0.711840193028898
9,0.240986476323668,46.2147778858097,1.90004516938355,0.112572761295478,0.264084507042254,0.297760875521561,0.0936549753292081,0.709686720312054
10,0.2582407228345,50.0146794217455,1.82900207144308,0.108207011708234,0.253521126760563,0.284041250966167,0.0882546504713668,0.721595654391275
11,0.240569535491496,49.3735416100753,1.89123487955798,0.106194118098146,0.246478873239437,0.308720207375432,0.0914610098348063,0.701445176236627
12,0.218888861603929,40.4021389800563,1.92256436092505,0.127741440395312,0.27112676056338,0.288674596135771,0.0872889043283895,0.712408349939353
13,0.248976523105685,51.8680923629749,1.82066131612673,0.0959761371385093,0.204225352112676,0.30303856723447,0.0926715774299212,0.713389448653256
14,0.223324483311843,48.7144982752857,1.91883391791167,0.102827445738256,0.235915492957746,0.290152885258585,0.0715005988308445,0.71804950876761
15,0.235873969508998,46.8581099840452,1.92148837361816,0.109108186396914,0.28169014084507,0.287268632286361,0.0789336232111168,0.712770539218308
16,0.233107988876317,48.7071396074486,1.91254005740878,0.164582408928122,0.23943661971831,0.323981782086504,0.110160873543868,0.67335626918597
17,0.259118536745652,46.0101434765995,1.81332673361151,0.108804813844536,0.267605633802817,0.299276741496673,0.0908369188432231,0.70930601870123
18,0.251478881763176,50.1095613381783,1.84153910264839,0.138399635631144,0.257042253521127,0.296665314789502,0.106604844679554,0.703374202083626
19,0.242128264576789,47.7244598369868,1.87378507781043,0.121106751388635,0.257042253521127,0.296132037791855,0.0906330514057238,0.70634789686137
20,0.253198600900484,46.2803609966837,1.82646586997859,0.120741945515484,0.274647887323944,0.292166150263594,0.0964463473749527,0.707143010979188
21,0.238637688180888,51.8335057367472,1.91587975090909,0.100595701198478,0.242957746478873,0.287833898408026,0.0844735934804935,0.716807562092358
