Seed,Silhouette,CH_Index,DB_Index,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
2,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
3,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
4,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
5,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
6,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
7,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
8,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
9,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
10,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
11,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
12,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
13,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
14,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
15,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
16,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
17,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
18,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
19,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
20,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
21,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
22,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
23,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
24,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
25,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
26,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
27,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
28,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
29,0.663834060285896,327.880047623169,0.803465646845561,NaN,NaN,NaN,NaN,NaN
30,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
31,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
32,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
33,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
34,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
35,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
36,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
37,0.663834060285896,327.880047623169,0.803465646845561,NaN,NaN,NaN,NaN,NaN
38,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
39,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
40,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
41,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
42,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
43,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
44,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
45,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
46,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
47,0.670353270996062,327.936621854967,0.809481923222707,NaN,NaN,NaN,NaN,NaN
48,0.662665465244775,327.783197848375,0.807498405842837,NaN,NaN,NaN,NaN,NaN
49,0.663834060285896,327.880047623168,0.803465646845561,NaN,NaN,NaN,NaN,NaN
50,0.666214332350429,327.801323964081,0.806108275940317,NaN,NaN,NaN,NaN,NaN
