seed,Silhouette,CH Index,DB Index,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.360104776611928,119.72266752837,1.65336004389093,0.721892232144854,0.25417439703154,0.579345523755329,0.0373693851800658,0.424903410857847
2,0.229825558925337,97.4346700203669,1.78408523133907,0.507792806033269,0.194805194805195,0.443825196433244,0.0927373291428748,0.613207943892464
3,0.273923854612095,83.1202599250082,1.54960807344504,0.662664440611075,0.24860853432282,0.511106367698096,0.123818148210362,0.457851944246656
4,0.281409654616717,79.6030387292457,1.70937437702852,0.684041196612594,0.228200371057514,0.600644093176972,0.0760092803520911,0.407617112809187
5,0.418867144204738,96.436454338121,1.68357598243213,0.613674923286064,0.215213358070501,0.637608318927913,0.0882190901138862,0.467253416350356
6,0.335130958496066,111.869586339597,1.54615606804022,0.592654786759146,0.267161410018553,0.615326864401514,0.0870589955965032,0.50223160429703
7,0.317235815054129,66.107272338897,1.1830785573024,0.666607910286079,0.285714285714286,0.479929148284639,0.313065737557557,0.379898441476618
8,0.320059355991677,94.3357928534871,1.77625813960862,0.601434756997589,0.263450834879406,0.576530066297602,0.0728337087056734,0.514969519901733
9,0.253694811254001,52.3306793272632,1.31069218229065,0.769018888764112,0.358070500927644,0.582177140623419,0.305217087777632,0.317606798079299
10,0.313090610683619,89.5333338309926,1.52236017764612,0.678561557377258,0.246753246753247,0.578546988584829,0.124169983683332,0.427034870846415
11,0.473983196445732,112.141257774748,1.47422304211334,0.615407396668647,0.209647495361781,0.648239626057021,0.0902924749233222,0.462052410776341
12,0.408351867168059,101.341180017224,1.7085948426837,0.585173217573697,0.233766233766234,0.593610334984226,0.0759201577432217,0.530993727797759
13,0.298487865307573,75.5153120432797,1.31668995669706,0.665353644999216,0.293135435992579,0.469832377904908,0.348991143359473,0.438528248774175
14,0.333948239032082,55.5699551262246,1.18600407525104,0.703001826742429,0.324675324675325,0.52857477076242,0.551198069778902,0.381477115424248
15,0.383413037912693,129.419632164734,1.50188659655421,0.583888808697768,0.23191094619666,0.591964032146289,0.0868430578667527,0.529269297788467
16,0.414362123737668,117.071534378041,1.57283689917953,0.609037527108994,0.213358070500928,0.590873950626969,0.0718614115583185,0.514211088923251
17,0.313303038406703,87.8235602192054,1.49209564849955,0.722915537662881,0.218923933209648,0.509874946959483,0.120549209188971,0.399522486320288
18,0.464442629667386,91.1207128007637,1.76457842885176,0.648111051868091,0.213358070500928,0.610891491739713,0.0675948734208347,0.444380271123299
19,0.259312011544071,99.7291512612001,1.80668771009425,0.556581813419429,0.211502782931354,0.536019124688118,0.0781315536249817,0.575372871963697
20,0.397436251633385,105.973808794827,1.67771419046538,0.605286063562344,0.217068645640074,0.582587315754514,0.070519922197464,0.509666924043888
21,0.272331948783789,69.9142119036157,1.3522507603966,0.641393017089599,0.306122448979592,0.463616671779173,0.250802448232149,0.465331545374036
