seed,Silhouette,CH Index,DB Index,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.539325984397224,51.9287210377305,0.727688434777609,0.609125972067133,0.388888888888889,0.402168872981733,0.617470145953118,0.438844830696946
2,0.483431752105717,44.8657787025373,0.714584733806397,0.628212161054471,0.333333333333333,0.426684397605688,0.555459197235513,0.394982721589026
3,0.579951287872325,47.489450573103,0.69580919345872,0.637964129615724,0.351851851851852,0.445207541187933,0.572811355311355,0.386894291982527
4,0.507988392574098,42.4855658483824,0.806725151272465,0.679235115608617,0.342592592592593,0.418841353376253,0.652117192688127,0.422578665560318
5,0.557041373435777,45.5934882781724,0.773742737528659,0.629562792203406,0.351851851851852,0.40741074907209,0.637761069340017,0.477976330219517
6,0.575733946767647,40.8282509031891,0.747655940763482,0.633394385539609,0.351851851851852,0.418707903896728,0.664970164854066,0.462408921708036
7,0.592255623627078,45.5286089519781,0.669167314204256,0.60438249032057,0.351851851851852,0.407330769743302,0.780532041058357,0.478559906467063
8,0.584085796222744,46.2261436959392,0.746076155863566,0.633119678540153,0.342592592592593,0.409788028707573,0.58206252811516,0.429491998950916
9,0.58251951328806,45.2096309659378,0.784167182162746,0.672032623587822,0.416666666666667,0.447554729175147,0.603070887445887,0.440874543356979
10,0.576584113593857,46.5993406877609,0.71657227165125,0.641521335783808,0.324074074074074,0.418663638127544,0.631812770562771,0.425659162886456
11,0.558441372981559,52.6960414987611,0.767698055831471,0.649780090873848,0.351851851851852,0.441297108711582,0.687478632478633,0.447505760502688
12,0.462485180562554,49.0938314852744,0.828106290755296,0.672500567922296,0.324074074074074,0.482854502348674,0.560495601749472,0.439144501749315
13,0.588690620623497,42.5772383596149,0.709189823400502,0.670202127615452,0.37037037037037,0.459326851304375,0.665664160401003,0.404284684349779
14,0.532399882688678,41.5640171548932,0.817635026888966,0.647745607125915,0.398148148148148,0.412026137665233,0.628089825154602,0.438477685312513
15,0.558108697599199,50.3640901905103,0.820881644667296,0.938665842571791,0.759259259259259,0.900849508216984,0.478716088077445,0.0729902023702563
16,0.550233382846064,37.4611311953991,0.760033989969151,0.668490440929165,0.342592592592593,0.436247879957492,0.694152648177416,0.425053693856917
17,0.496311199532875,59.579865065738,0.866039809853206,0.623468202830408,0.324074074074074,0.4329371320289,0.723492063492063,0.475447102127132
18,0.566188758346666,44.7735749962179,0.663270999732577,0.638671870195383,0.351851851851852,0.428600501923997,0.478562062937063,0.393171325865417
19,0.558367275901986,45.7009971732317,0.743285522407683,0.589981951360248,0.342592592592593,0.379854584934044,0.632926795426795,0.462193166732727
20,0.516416356063531,39.7122018499696,0.792764280241438,0.584543781520401,0.296296296296296,0.378462079635003,0.617262578108166,0.52737828911996
21,0.566014012321138,44.843650630867,0.748123776679871,0.616960031804423,0.342592592592593,0.362397436356399,0.658356061722935,0.492817717953377
22,0.568743970658382,38.9613411243825,0.691672466405902,0.658909344102326,0.425925925925926,0.455086600506397,0.603959765724472,0.383469246319706
23,0.571787330329416,45.047909630817,0.743161811023925,0.624106454501402,0.453703703703704,0.400337468574441,0.748746459131156,0.466764088121864
24,0.528236425236156,46.01224836101,0.752151808455523,0.651819579853851,0.37962962962963,0.414362324999292,0.747008055027997,0.442729603392122
25,0.564612276368743,53.9670103365263,0.748486561865624,0.601412557474293,0.351851851851852,0.412797620884548,0.8243430335097,0.502906738041004
26,0.572775013655556,46.2638205789614,0.693162591349634,0.657811334469775,0.342592592592593,0.451263825213538,0.770873329568982,0.414481407942966
27,0.569188948920239,45.2685104653315,0.82004296726552,0.637375839815379,0.324074074074074,0.437644082977369,0.60267714741399,0.420291036554611
28,0.589292550362766,48.3324807207596,0.764222237131097,0.66960215515582,0.296296296296296,0.441965599926093,0.673100575512856,0.426857630099003
29,0.481089114426502,40.3853104916571,0.808921044744102,0.668817420597328,0.37962962962963,0.433918869209701,0.508334219386851,0.43236887810308
30,0.593397984740935,42.8788222618256,0.695363858786232,0.670181264642022,0.314814814814815,0.450584433892206,0.657302346776031,0.4056911802897
31,0.530191787396059,41.89164810285,0.722186989606326,0.626007789367532,0.333333333333333,0.419786088532942,0.576768089390638,0.421337622329246
32,0.555644840656714,40.9771579126513,0.732673693715344,0.632154216957489,0.37037037037037,0.435025933372257,0.655063114989586,0.428049500803506
33,0.5271113288614,40.0123439278027,0.746795778394971,0.558297566231032,0.333333333333333,0.394659273186738,0.605180492022597,0.478745569886213
34,0.56298347922045,36.4104082518264,0.688117555579614,0.632954796840012,0.407407407407407,0.461933996943028,0.645790793314013,0.389659341947357
35,0.553516835777899,43.7444689517044,0.800124888606016,0.66479733502027,0.342592592592593,0.41964768820089,0.696808608058608,0.452351088536748
36,0.557137422027656,54.8032882879769,0.847063794583586,0.673950025755274,0.425925925925926,0.439412325454739,0.685359547859548,0.429945316930611
37,0.534563447338192,38.7194397133619,0.744601505238279,0.65433583452197,0.361111111111111,0.456352811747087,0.615520282186949,0.3914121397184
38,0.561788566120187,51.0382774388597,0.812031427997945,0.656163062733568,0.388888888888889,0.439590005718605,0.772914721444133,0.461121019690444
39,0.587061655555544,47.0839710308578,0.675412002810758,0.648725791873333,0.361111111111111,0.437497855176914,0.761044657097289,0.444547701718122
40,0.569807733973431,42.3717840144108,0.734755434928714,0.62128947411134,0.324074074074074,0.394919468908893,0.728190783889313,0.487280579943635
41,0.49523151873064,43.580232341364,0.752165068730353,0.633331491680415,0.37037037037037,0.4278632163339,0.576399811261403,0.389953066499886
