seed,Silhouette,CH Index,DB Index,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.465470898589736,83.6047325862023,1.23306200066408,0.523443298051773,0.28125,0.43245239126732,0.173872066095437,0.622872433652021
2,0.332488712027908,77.1061747516605,1.08375383558821,0.698732439006578,0.270833333333333,0.392260632630584,0.143473192525894,0.44009327463556
3,0.304592950099528,52.6118591359021,1.45106074258826,0.628905038013774,0.338541666666667,0.474087608406011,0.231503233797754,0.46282316546575
4,0.363981213215842,58.4915853622269,1.61278684301118,0.525260526061312,0.276041666666667,0.410821057810666,0.157843739757457,0.624417165995945
5,0.327925410290427,59.0810244823507,1.32954022087375,0.627241910528266,0.348958333333333,0.473921133470271,0.249219304276983,0.462094020675016
6,0.748215543880097,91.1402886238079,0.903563509187724,0.967379371404462,0.296875,0.982389022151149,0.182749778492744,0.0572139303482587
7,0.597213630796536,109.432553443569,0.991880682504558,0.735602146594776,0.34375,0.595865480187112,0.0852716918773732,0.362531712436836
8,0.522969285354034,102.158284511602,1.1264796245072,0.515129520291544,0.28125,0.416545636519716,0.151001861363437,0.637557815413817
9,0.438009410940745,84.0274979709591,1.18249458372492,0.483468062264605,0.296875,0.428581188452611,0.182311068102364,0.630522089282315
10,0.42054551283548,55.494344498861,1.71103354047676,0.734669391019271,0.3125,0.590748368392758,0.0880409269179459,0.344188125009998
11,0.277127585827703,68.0397008774903,1.47793500322647,0.621569755983646,0.322916666666667,0.494605969222454,0.170648999882926,0.489883202594676
12,0.330184987311462,69.4272196270305,1.05329871513028,0.652468960501967,0.333333333333333,0.39607965227343,0.186775380684593,0.459437750460989
13,0.335366283720519,53.3677070812316,1.30668672406288,0.628238795516222,0.333333333333333,0.442336337173294,0.25164907371243,0.464440611179742
14,0.441510594014456,55.9981686826907,1.46704650335195,0.595686444845354,0.322916666666667,0.501090400161052,0.144365419933602,0.489517596366529
15,0.48689330442127,74.6519508950133,1.26135266108742,0.540930676233958,0.286458333333333,0.462520615709307,0.175728802049839,0.608188754920309
16,0.255898532755199,37.6311391703493,1.45226251281834,0.726477055418972,0.307291666666667,0.485467238463032,0.198952306583752,0.374458317544583
17,0.245721777522181,36.5029498673009,1.27013114030989,0.700026525765213,0.255208333333333,0.439922717379397,0.495076707396109,0.390886013443185
18,0.409659966013446,47.1103206047068,1.43347209767078,0.671592866487516,0.307291666666667,0.475032626051083,0.20736764583852,0.407443399763178
19,0.360438370852465,46.1546396640028,1.12026670916619,0.665397837297477,0.348958333333333,0.462935376308588,0.40461470977552,0.409305326689714
20,0.393107471788075,30.557431435439,1.64715509274779,0.737381244401393,0.338541666666667,0.597038585489069,0.0903352893721889,0.33351002277054
21,0.415820346664919,47.8288268657406,1.88056083076437,0.696429091015041,0.307291666666667,0.555733191906376,0.0922996277038023,0.425238117975548
22,0.575891651666274,99.3183329540928,0.961663884154161,0.458907547682281,0.333333333333333,0.472807958762202,0.252123174334525,0.643113461096348
23,0.509146571696246,67.1101698645153,1.30360017522081,0.582170126206844,0.34375,0.499129090762533,0.200094151372924,0.511944025581207
24,0.469434057955224,55.4730271299088,1.32483121922551,0.590171631703138,0.328125,0.499756684539293,0.202767112043687,0.486484047353613
25,0.500131938767762,71.9068686901504,1.00631966154643,0.683112780470276,0.307291666666667,0.462871421589697,0.105820474091401,0.389890462639488
26,0.484263519475908,91.524758692867,1.14909074977994,0.54702756307378,0.286458333333333,0.469887028017711,0.15017412369992,0.592192385869355
27,0.489945889275419,62.1696801158377,1.32553322891589,0.472856322045539,0.307291666666667,0.446955570118055,0.228140626880179,0.643765029407667
28,0.322486532684052,46.9221989090621,1.18042438316106,0.6786495784582,0.354166666666667,0.434094588182087,0.21446512093891,0.400716095937308
29,0.588773703815728,108.093888081887,1.01768950407628,0.511484145617053,0.307291666666667,0.452721119257648,0.218462823725982,0.638030512171251
